Title,Maker,Body,Sources,Tags,Date Promised,Update Headline,Status,Update Body,Update Sources,,Other,Author,Date,Title,Sponsor of website,Date accessed,Link,,Author,Date,Title,Sponsor of website,Date accessed,Link
Promises tax break for school uniforms,Julia Gillard,"JULIA Gillard has unveiled her first election promise, offering parents a tax break of up to almost $800 to cover the cost of school uniforms. The pledge - to cost about $220 million over four years. The refund - worth up to $390 for a primary school child and $779 for a secondary student - will not become available until families lodge their tax returns in 2012-13.","author date, [title](http://www.abc.net.au/pm/content/2010/s2952530.htm), sponsor of website date accessed",Education,13/07/2010,sdfsdfsdfsdfsdfsdfsdfsdf,stalled,sdfsdfsdfsdfsdfsdfsdf,"author date, [title](http://www.abc.net.au/pm/content/2010/s2952530.htm), sponsor of website date accessed",,,author,date,title,sponsor of website,date accessed,http://www.abc.net.au/pm/content/2010/s2952530.htm,,author,date,title,sponsor of website,date accessed,http://www.abc.net.au/pm/content/2010/s2952530.htm
Increasing spending on hospitals,Julia Gillard,Increased hospital funding by 50%,,Health,17/07/2010,,,,,,,,,,,,,,,,,,,
Combating climate change by investing in solar power,Julia Gillard,,,Environment,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Offering a new national curriculum for children,Julia Gillard,,,Education,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Tightening border protection.,Julia Gillard,,,Border Security,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Promise to spend is equivalent to save,Julia Gillard,By making sure that any promise we make to spend money is offset by a promise to save money.,,Budget,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Will not change budget.,Julia Gillard,By making sure that the budget bottom line doesn't change by one cent during the election campaign.,,Budget,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
To build a $2.6 billion rail link between Parramatta and Epping.,Julia Gillard,"Preliminary work on the 14-kilometre heavy rail link, which will shave 25 minutes off the trip from Chatswood to Parramatta, will begin next year [2010] and construction is due to be completed in 2017. To ensure the state government delivers on its end of the deal, the project will be overseen by the federal government's infrastructure body, Infrastructure Australia.",,Transport,11/08/2010,,,,,,,,,,,,http://www.smh.com.au/federal-election/gillards-2b-transport-fix-20100810-11y71.html,,,,,,,
Increase pensioner funding,Julia Gillard, Labor has provided more help for pensioners through increases of more than $100 a fortnight in the age pension for singles and $76 for couples.,,,,,,,,,,,,,,,,,,,,,,
Julia Gillard and Labor have a plan to get the budget back in the black with a surplus in 3 years.,Julia Gillard,,,Budget,,,,,,,,,,,,,http://www.alp.org.au/federal-government/achievements/getting-the-budget-back-in-black-3-years-early/,,,,,,,
Establishing a single national school curriculum,Julia Gillard,"The new English, maths, science and history curriculum was the subject of extensive consultation this year and is currently being road tested in schools around Australia. The next phase of work has commenced to develop the National Curriculum for languages, geography and the arts.",,Education,,,,,,,,,,,,,,,,,,,,
"From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in health investments over the next five years.",Julia Gillard,"From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in investments over the next five years to provide: 
1,300 new sub-acute hospital beds
Emergency department waiting times capped at four hours;
Elective surgery delivered in clinically recommended times for 95 per cent of Australians;
Training for 6,000 more doctors, including doubling the number of GPs trained every year;
Better support for nurses working in GP and primary care, aged care and mental health;
A national after hours GP service with a 24 hour hotline that provides GP advice and can arrange a follow-up visit in your local community;
Support to upgrade around 425 GP practices and health clinics across the country # so that GPs can expand their facilities and locate more services in a single community location.
Support for 2,500 additional aged care beds;
A personally controlled electronic health record for every Australian that wants one;
new investments in prevention, including tough new action to tackle smoking; and
new investments in mental health services, with 20,000 extra young people per year to get assistance.
The Government#s National Health and Hospitals Network will be funded nationally and run locally. It will mean that Australian working families are no longer shunted from one system funded by the State Government to another funded by the Australian Government. Under this reform, the Australian Government will: 
become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients
fund 60 per cent of buildings, equipment, teaching and training costs in public hospitals
takeover funding for GP and primary care
takeover funding for aged care",,Health,,,,,,,,,,,,,http://www.alp.org.au/agenda/health-reform/,,,,,,,
Double the funding for Australian schools,Julia Gillard,"1,300 new sub-acute hospital beds",,Education,,,,,,,,,,,,,http://www.alp.org.au/agenda/school-reform/,,,,,,,
The Government will increase the superannuation guarantee to 12 per cent,Julia Gillard,Emergency department waiting times capped at four hours;,,Superannuation,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/super-reform---increasing-your-superannuation/,,,,,,,
 The 30 per cent Minerals Resource Rent Tax will apply to iron ore and coal projects,Julia Gillard,Elective surgery delivered in clinically recommended times for 95 per cent of Australians;,,Tax,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/tax-reform-a-tax-plan-for-our-future/,,,,,,,
"Build new and better roads, rail and ports, funded out of a $6 billion regional infrastructure fund.",Julia Gillard,"Training for 6,000 more doctors, including doubling the number of GPs trained every year;",,Infastructure,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/tax-reform-a-tax-plan-for-our-future/,,,,,,,
Cut small business Tax,Julia Gillard,"Better support for nurses working in GP and primary care, aged care and mental health;",,Tax,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/tax-reform-a-tax-plan-for-our-future/,,,,,,,
Support savings outside of superannuation,Julia Gillard,A national after hours GP service with a 24 hour hotline that provides GP advice and can arrange a follow-up visit in your local community;,,Tax,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/tax-reform-a-tax-plan-for-our-future/,,,,,,,
"Individual Australians will benefit from an optional standard deduction, worth $500 in 2012-13 and $1,000 from 2013-14 onwards",Julia Gillard,Support to upgrade around 425 GP practices and health clinics across the country # so that GPs can expand their facilities and locate more services in a single community location.,,Tax,,,,,,,,,,,,,http://www.alp.org.au/agenda/more---policies/tax-reform-a-tax-plan-for-our-future/,,,,,,,
Building Better Regional Cities,Julia Gillard,"Support for 2,500 additional aged care beds;",,Infastructure,18/07/2010,,,,,,,,,,,,http://www.alp.org.au/agenda/regional-cities/,,,,,,,
The Gillard Labor Government will introduce tough new emissions standards for all new coal-fired power stations.,Julia Gillard,A personally controlled electronic health record for every Australian that wants one;,,Environment,,,,,,,,,,,,,http://www.alp.org.au/agenda/connecting-renewables/cleaner-power-stations/,,,,,,,
Trade Cadetships,Julia Gillard,"new investments in prevention, including tough new action to tackle smoking; and",,Education,20/07/2010,,,,,,,,,,,,http://www.alp.org.au/agenda/national-trade-cadetships/,,,,,,,
"National Trade Cadetship work
experience places",Julia Gillard,"new investments in mental health services, with 20,000 extra young people per year to get assistance.",,Education,21/07/2010,,,,,,,,,,,,,,,,,,,
"The Gillard Labor Government will provide $394 million to support motorists to purchase new, low-emission, fuel-efficient vehicles.",Julia Gillard,"The Government#s National Health and Hospitals Network will be funded nationally and run locally. It will mean that Australian working families are no longer shunted from one system funded by the State Government to another funded by the Australian Government. Under this reform, the Australian Government will: ",,Environment??,24/07/2010,,,,,,,,,,,,http://www.alp.org.au/agenda/connecting-renewables/cleaner-car-rebate/,,,,,,,
The Gillard Labor Government’s Protecting Workers’ Entitlements package will provide the strongest protection of employee entitlements Australian workers have ever had.,Julia Gillard,become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients,,Workplace Relations,,,,,,,Minister- Chris Evans,,,,,,http://www.alp.org.au/protecting-workers-entitlements-package/,,,,,,,
"Community consensus on climate
change",Julia Gillard,"fund 60 per cent of buildings, equipment, teaching and training costs in public hospitals",,Environment,23/07/2010,,,,,,,,,,,,,,,,,,,
Connecting renewables initiative,Julia Gillard,takeover funding for GP and primary care,,Environment,23/07/2010,,,,,,,,,,,,,,,,,,,
Cuts to renewable program,Julia Gillard,takeover funding for aged care,,Environment,25/07/2010,,,,,,,,,,,,,,,,,,,
MySuper,Julia Gillard,,,Financial Services and Supperannuation,1/08/2010,,,,,,,,,,,,,,,,,,,
Paid paternity leave,Julia Gillard,Value $m over 4 years: $146m,,Workplace Relations,19/08/2010,,,,,,,,,,,,http://www.crikey.com.au/policy-watch-labor-2010-election-promises/,,,,,,,
Commit $20million over 4 yrs to Tasmanian Forestry,Julia Gillard,To help Tasmanian contractors and their employees respond to the challenges facing the Tasmanian forest industry”,,Environment,19/08/2010,,,,,,,,,,,,http://www.crikey.com.au/policy-watch-labor-2010-election-promises/,,,,,,,
Medicare rebates for consultations by internet,Julia Gillard,"those in rural, remote and outer metropolitan areas would receive Medicare rebates for consultations by internet with far-away specialists, and GPs and specialists would get financial incentives to take part. And by July 1, 2012, patients would be able to consult after hours via video-conferencing doctors and specialists. ",,Health,16/08/2010,,,,,,,,,,,,http://www.smh.com.au/federal-election/gillards-newage-light-on-the-hill-yes-we-will-20100816-12670.html,,,,,,,
Renewable technology pledge.,Julia Gillard,$40 million to “target the prototype and earlier demonstration stages of the innovation lifecycle” of renewables technologies,,Resources / Energy,19/08/2010,,,,,,,,,,,,http://www.crikey.com.au/policy-watch-labor-2010-election-promises/,,Funding already allocated,,,,,
Savings of $95million,Julia Gillard,"
Cuts to Carbon Capture and Storage Institute and desalination",,Treasury / Budget,18/08/2010,,,,,,,,,,,,,,,,,,,
$10million dedicated to financial literacy,Julia Gillard,"
Maths curriculum to address financial literacy",,Education,18/08/2010,,,,,,,,,,,,,,,,,,,
 $392.3million dedicated to connecting health services,Julia Gillard,New Medicare item and capacity building for online consultations,,Health,16/08/2010,,,,,,Further information: This funding will be fully offset over the forward estimates,,,,,,,,,,,,,
Investing in a creative Australia,Julia Gillard,$5million in  new funding to Australia Council,,???,15/08/2010,,,,,,Further information: This funding will be fully offset over the forward estimates,,,,,,,,,,,,,
Consumer credit reforms,Julia Gillard,Range of measures affecting consumer credit,,???,15/08/2010,,,,,,,,,,,,,,,,,,,
Additional savings of $37.6m,Julia Gillard,Reduce funding for “Retooling for Climate Change program,,Treasury / Budget,14/08/2010,,,,,,,,,,,,,,,,,,,
Additional savings of $79.5m,Julia Gillard,Ending duplication of funding sources to job services providers,,Treasury / Budget,14/08/2010,,,,,,,,,,,,,,,,,,,
Additional savings of $49.7m,Julia Gillard,Greater revenue through internal grant reporting,,Treasury / Budget,14/08/2010,,,,,,,,,,,,,,,,,,,
Additional savings of $200m,Julia Gillard,Green car innovation fund cut,,Treasury / Budget,14/08/2010,,,,,,,,,,,,,,,,,,,
Dedicate $10million to Green corridors plan,Julia Gillard,Linking up national parks and reserves with well-managed private land,,,14/08/2010,,,,,,“Funding over the forward estimates has already been provided for in the Budget through the Renewable Energy Future Fund”,,,,,,,,,,,,,
Carbon farming initiative,Julia Gillard,Facilitate accredited carbon offsets in agriculture valuing $45.6m,,Environment,14/08/2010,,,,,,"“Already included in the Budget, through the Renewable Energy Future Fund”",,,,,,,,Complete?,,,,,
Apprenticeship bonus scheme,Julia Gillard,$344m in incentives for apprentices to complete apprenticeships,,Education,13/08/2010,,,,,,,,,,,,,,,,,,,
Improved translation services for the aged,Julia Gillard,$5m dedicated to greater interpreter services in aged care,,Health and Aging,13/08/2010,,,,,,,,,,,,,,,,,,,
Parramatta-Epping rail link,Julia Gillard,Construction to commence in 2014-15,,Transport,11/08/2010,,,,,,,,,,,,,,,,,,,
Gladstone Port upgrade,Julia Gillard,$50m funded via Regional Infrastructure Fund (MRRT),,Infastructure,11/08/2010,,,,,,,,,,,,,,,,,,,
Snowy River flows,Julia Gillard,Repayment of Mowamba Viaduct $13.7m “debt” to NSW,,Treasury / Budget,11/08/2010,,,,,,Further information: Funding for this project is already included in the Budget through the Sustainable Water Use and Infrastructure Program.,,,,,,,,,,,,,
Healthier start for school,Julia Gillard, Linking Family Tax Benefit A to health checks for children,,???,11/08/2010,,,,,,,,,,,,,,,,,,,
Connecting people with jobs,Julia Gillard,Assistance for jobseekers to relocate to employment opportunities,,????,11/08/2010,,,,,,Value $m over 4 years: $14.8m,,,,,,,,These costs will be fully offset from unused quarantined funding under the Employment Pathway Fund that is already provided for in the Budget.,,,,,
$140million for the Princes Highway duplication,Julia Gillard,"The Princes Highway East - Traralgon to Sale duplication involves widening the Princes Highway between Traralgon and Sale to provide two lanes in each direction. This will ultimately result in a four lane, two carriageway freeway which will cover road works over approximately 44 kilometres in total. 

Construction will be undertaken in several sections, commencing with the Traralgon East Section between Traralgon-Maffra Road and Stammers Road.",,Infastructure ,10/08/2010,,,,,,Funding for this commitment will be fully offset over the forward estimates,,,,,,http://www.nationbuildingprogram.gov.au/projects/ProjectDetails.aspx?Project_id=033229-08VIC-NP,,,,,,,
Science for Australia’s Future policy,Julia Gillard,$21million in funding for “Inspiring Australia” program,,???,10/08/2010,,,,,,,,,,,,,,,,,,,
Dedicate $16.1m to Teach Next,Julia Gillard,Attract professionals to education,,Education,10/08/2010,,,,,,,,,,,,,,,,,,,
Domestic violence campaign,Julia Gillard,Range of new and expanded programs addressing domestic violence. $44.5m,,Families / Police,9/08/2010,,,,,,,,,,,,,,,,,,,
Non-profit sector,Julia Gillard,Range of measures to improve interaction between NGOs and Government. Further information: New commitments including Office within PM&C to be offset within Public Service,,Human Services,9/08/2010,,,,,,,,,,,,,,,,,,,
Better schools funding,Julia Gillard,$482.1m in funding for performance bonuses for schools and teachers and a new Baccalaureate curriculum,,Education,9/08/2010,,,,,,Further information: Funding for these investments will be fully offset over the forward estimates,,,,,,,,,,,,,
Victorian College of Arts,Julia Gillard,Increase in funding for VCA. $20m,,???,9/08/2010,,,,,,,,,,,,,,,,,,,
No school no play initiative,Julia Gillard,Implementation of anti-truancy initative,,Education,9/08/2010,,,,,,,,,,,,,,,,,,,
School chaplains,Julia Gillard,"Continuation of school chaplains program. $222m,",,Education,9/08/2010,,,,,,,,,,,,,,,,,,,
Delivering for seniors package. $100m,Julia Gillard,Measures relating to work income-pension interaction,,Health and Aging,7/08/2010,,,,,,,,,,,,,,,,,,,
Essendon Football Club,Julia Gillard,Contribution to funding for sporting and community Hub. $6m,,Sport,6/08/2010,,,,,,,,,,,,,,,,,,,
Mary McKillop canonisation,Julia Gillard,Supporting the celebration of the canonisation of Mary McKillop. $1.5m,,???,5/08/2010,,,,,,,,,,,,,,Complete.,,,,,
Inland rail route $4.9b,Julia Gillard,Construction of inland rail route to commence in 2014-15 over 8 years,,,5/08/2010,,,,,,"Federal funding towards the construction works on this project will come from the next rounds of the Nation Building Program, commencing in 2014-15, beyond the forward estimates.",,,,,,,,,,,,,
High-speed rail feasibility study. 20m,Julia Gillard,Scoping study for feasibility and route of HSR network,,Infrastructure / Transport,5/08/2010,,,,,,,,,,,,,,,,,,,
Townsville Ring Road $160m,Julia Gillard,Next stage of Townsville Ring Road,,Infrastructure / Transport,5/08/2010,,,,,, Funded via Regional Infrastructure Fund (MRRT),,,,,,,,,,,,,
Better Access To Family Payments $54.4m,Julia Gillard, Advance payments for Family Tax Benefit A recipients,,Families,3/08/2010,,,,,,Further information: “Will be fully offset.”,,,,,,,,,,,,,
Mariners Sports Complex $10m,Julia Gillard,Sports complex on Central Coast,,Infrastructure ,3/08/2010,,,,,,Further information:“Funding for these investments will be fully offset over the forward estimates”,,,,,,,,,,,,,
Savings initiatives of $360m,Julia Gillard,Cuts to Government advertising and special dividend from Medibank Private,,Treasury / Budget,2/08/2010,,,,,,,,,,,,,,,,,,,
Supporting families with teenagers. $668m,Julia Gillard,Changes to Family Tax Benefit A for older teenagers,,Families,2/08/2010,,,,,,Further information: “Funding for these investments will be fully offset over the forward estimates”,,,,,,,,,,,,,
Empowering local schools $71.9m,Julia Gillard,Funding first tranche of schools principals of which will have greater management control,,Education,2/08/2010,,,,,,Further information: “Funding for these investments will be fully offset over the forward estimates”,,,,,,,,,,,,,
My Super $21.1m,Julia Gillard,Funding for APRA and ASIC for introduction of MySuper default super account,,Commitment: ,1/08/2010,,,,,,Further information: Cost to be met through industry levy,,,,,,,,,,,,,
Better start for children with disability $122m,Julia Gillard,Range of measures for children with disabilities and carers,,Commitment: ,29/07/2010,,,,,,Further information: Funding for this commitment will be fully offset over the forward estimates,,,,,,,,,,,,,
Legal and family services $2m,Julia Gillard,Extra funding for legal and family services in Melbourne,,Families,28/07/2010,,,,,,Further information: No funding source specified,,,,,,,,,,,,,
Adelaide stormwater harvesting projects,Julia Gillard,Expansion of stormwater harvesting and reuse program,,????,28/07/2010,,,,,,"Value $m over 4 years: $100m. Funding “is drawn from the National Urban Water and Desalination Plan, already included in the Budget.”",,,,,,,,,,,,,
Perth Water recycling $2.46m,Julia Gillard,Co-funded recycling project with WA Government,,Water / Infrastructure / Environment,27/07/2010,,,,,,Further information: Only funding information is “Funding will be provided under the Federal Labor Government’s National Urban Water and Desalination Plan.”,,,,,,,,,,,,,
$277m dedicated to Action on suicide,Julia Gillard,4-part package to tackle suicide and promote better mental health,,Mental Health,27/07/2010,,,,,,Further information: “Funding for these investments will be fully offset over the forward estimates”,,,,,,,,,,,,,
Moreton Bay rail link,Julia Gillard,Commonwealth to partner with state and local governments building a 12.6km rail link. Funding will be $742m beyond Forward Estimates,,Transport / Infastructure,27/07/2010,,,,,,"Further information: Funding “to be made available from Nation Building Program 2, commencing in 2014-15, beyond the forward estimates.”",,,,,,,,,,,,,
Emergency department funding,Julia Gillard,Funding for more doctors and nurses in emergency departments.,,Health,26/07/2010,,,,,,Further information: Funding allocated but not announced in budget. Value $m over 4 years: 96,,,,,,,,,,,,,
Fair Entitlements Guarantee $60.8m,Julia Gillard,Protection for workers’ entitlements beyond GEERS.,,Workplace Relations,25/07/2010,,,,,,Further information: This funding will be fully offset over the forward estimates.,,,,,,,,,,,,,
Tax Breaks for Green Buildings,Julia Gillard,"
Businesses that undertake capital works to improve the energy efficiency of their existing buildings will be able to apply for a one-off bonus tax deduction.",,????,25/07/2010,,,,,,Further information: Funding over the forward estimates has already been provided for in the Budget through the Renewable Energy Future Fund. Value $m over 4 years: 180,,,,,,,,,,,,,
$520m cuts to renewable programs,Julia Gillard,Cuts to Solar and CCS Flagships program and Renewable Energy Bonus Scheme.,,Treasury / Budget,25/07/2010,,,,,,,,,,,,,,,,,,,
"Cleaner car rebate, cost $394m",Julia Gillard,$2000 rebate for trading in pre-1995 vehicle for new car.,,????,24/07/2010,,,,,,Further information: This initiative will be funded from redirections across the forward estimates from the Solar and CCS Flagship programs and Renewable Energy Bonus Scheme.,,,,,,,,,,,,,
Spend $46m on Tourism,Julia Gillard,A $40 million injection into the TQUAL Grants program and $6 million for the National Long Term Tourism Strategy,,Tourism,23/07/2010,,,,,,Further information: This funding will be fully offset over the forward estimates.,,,,,,,,,,,,,
Renewable Energy Venture Capital Fund,Julia Gillard,Venture capital for renewable energy projects,,????,23/07/2010,,,,,,Value $m over 4 years: $100m. Further information: $100m provided through Renewable Energy Future Fund,,,,,,,,,,,,,
Connecting renewables initiative,Julia Gillard,Connect renewable energy sources to electricity grid,,????,23/07/2010,,,,,, $100m provided through Renewable Energy Future Fund. Value $m over 4 years: $100m,,,,,,,,,,,,,
Community consensus on climate change,Julia Gillard,Citizens’ assembly and climate commission,,Climate Change,23/07/2010,,,,,,Further information: $9m provided through Renewable Energy Future Fund. Value $m over 4 years: 9,,,,,,,,,,,,,
National Trade Cadetship work experience places. $25m,Julia Gillard,"50,000 work experience places as part of National Trade Cadetship.",,Education,21/07/2010,,,,,,,,,,,,,,,,,,,
National Trade Cadetship. $3.1m,Julia Gillard,Pre-trade work readiness skills available via trades training centres.,,Education,20/07/2010,,,,,,,,,,,,,,,,,,,
 Building Better Regional Cities. $200m,Julia Gillard,15 councils to receive $15m for housing infrastructure,,Infastructure,18/07/2010,,,,,,Further information: $200m “reprioritised from existing housing funding”,,,,,,,,,,,,,
